normalized_name,count,examples
기타재무활동으로인한현금유출액,1,기타재무활동으로 인한 현금유출액
현금및현금성자산의환율변둉효과,1,현금및현금성자산의 환율변둉효과
기타장기수취채권,1,기타장기수취채권
관계기업및공동기업투자자산,1,관계기업 및 공동기업투자자산
유동성충당부채,1,유동성충당부채
매각예정으로분류된처분집단의부채,1,매각예정으로 분류된 처분집단의 부채
기타장기지급채무,1,기타장기지급채무
비유동성충당부채,1,비유동성충당부채
기타영업수익,1,기타영업수익
지배주주에귀속되는순이익,1,지배주주에 귀속되는 순이익
보통주기본주당이익,1,보통주 기본주당이익
보통주희석주당이익,1,보통주 희석주당이익
보통주기본주당계속영업이익,1,보통주 기본주당계속영업이익
보통주희석주당계속영업이익,1,보통주 희석주당계속영업이익
우선주기본및희석주당이익,1,우선주 기본 및 희석주당이익
우선주기본및희석주당계속영업이익,1,우선주 기본 및 희석주당계속영업이익
당기손익으로재분류되지않는항목,1,당기손익으로 재분류되지 않는 항목
기타포괄손익공정가치금융자산손익,1,기타포괄손익-공정가치 금융자산 손익
관계기업순확정급여부채의재측정요소에대한지분,1,관계기업 순확정급여부채의 재측정요소에 대한 지분
현금흐름위험회피,1,현금흐름위험회피
관계기업및공동기업기타포괄손익에대한지분,1,관계기업 및 공동기업 기타포괄손익에 대한 지분
공동기업기타포괄손익중처분으로인한재분류,1,공동기업 기타포괄손익 중 처분으로 인한 재분류
관계기업및공동기업투자자산의처분,1,관계기업 및 공동기업투자자산의 처분
기타금융자산의처분,1,기타금융자산의 처분
사업양도로인한현금유입,1,사업양도로 인한 현금유입
피생상품의정산,1,피생상품의 정산
관계기업및공동기업투자자산의취득,1,관계기업 및 공동기업투자자산의 취득
기타금융자산의취득,1,기타금융자산의 취득
사업양수로인한현금유출,1,사업양수로 인한 현금유출
비지배지분에의한자본납입,1,비지배지분에 의한 자본납입
차입금등의상환,1,차입금 등의 상환
종속기업의지배지분변동,1,종속기업의 지배지분 변동
현금및현금성자산의증가,1,현금및현금성자산의 증가
기초매각예정자산집단에포함된현금성자산,1,기초 매각예정자산집단에 포함된 현금성자산
매각예정자산집단에포함된현금성자산,1,매각예정자산집단에 포함된 현금성자산
배출부채,1,배출부채
당기손익공정가치측정금융자산의감소,1,당기손익-공정가치측정금융자산의 감소
관계기업및공동기업투자주식의감소,1,관계기업 및 공동기업 투자주식의 감소
